release_date,release_time_et,release_type,reference_period,notes
2015-01-09,08:30,EMPSIT,2014-12,
2015-01-16,08:30,CPI,2014-12,
2015-02-06,08:30,EMPSIT,2015-01,
2015-02-26,08:30,CPI,2015-01,
2015-03-06,08:30,EMPSIT,2015-02,
2015-03-24,08:30,CPI,2015-02,
2015-04-03,08:30,EMPSIT,2015-03,
2015-04-17,08:30,CPI,2015-03,
2015-05-08,08:30,EMPSIT,2015-04,
2015-05-22,08:30,CPI,2015-04,
2015-06-05,08:30,EMPSIT,2015-05,
2015-06-18,08:30,CPI,2015-05,
2015-07-02,08:30,EMPSIT,2015-06,
2015-07-17,08:30,CPI,2015-06,
2015-08-07,08:30,EMPSIT,2015-07,
2015-08-19,08:30,CPI,2015-07,
2015-09-04,08:30,EMPSIT,2015-08,
2015-09-16,08:30,CPI,2015-08,
2015-10-02,08:30,EMPSIT,2015-09,
2015-10-15,08:30,CPI,2015-09,
2015-11-06,08:30,EMPSIT,2015-10,
2015-11-17,08:30,CPI,2015-10,
2015-12-04,08:30,EMPSIT,2015-11,
2015-12-15,08:30,CPI,2015-11,
2016-01-08,08:30,EMPSIT,2015-12,
2016-01-20,08:30,CPI,2015-12,
2016-02-05,08:30,EMPSIT,2016-01,
2016-02-19,08:30,CPI,2016-01,
2016-03-04,08:30,EMPSIT,2016-02,
2016-03-16,08:30,CPI,2016-02,
2016-04-01,08:30,EMPSIT,2016-03,
2016-04-14,08:30,CPI,2016-03,
2016-05-06,08:30,EMPSIT,2016-04,
2016-05-17,08:30,CPI,2016-04,
2016-06-03,08:30,EMPSIT,2016-05,
2016-06-16,08:30,CPI,2016-05,
2016-07-08,08:30,EMPSIT,2016-06,
2016-07-15,08:30,CPI,2016-06,
2016-08-05,08:30,EMPSIT,2016-07,
2016-08-16,08:30,CPI,2016-07,
2016-09-02,08:30,EMPSIT,2016-08,
2016-09-16,08:30,CPI,2016-08,
2016-10-07,08:30,EMPSIT,2016-09,
2016-10-18,08:30,CPI,2016-09,
2016-11-04,08:30,EMPSIT,2016-10,
2016-11-17,08:30,CPI,2016-10,
2016-12-02,08:30,EMPSIT,2016-11,
2016-12-15,08:30,CPI,2016-11,
2017-01-06,08:30,EMPSIT,2016-12,
2017-01-18,08:30,CPI,2016-12,
2017-02-03,08:30,EMPSIT,2017-01,
2017-02-15,08:30,CPI,2017-01,
2017-03-10,08:30,EMPSIT,2017-02,
2017-03-15,08:30,CPI,2017-02,
2017-04-07,08:30,EMPSIT,2017-03,
2017-04-14,08:30,CPI,2017-03,
2017-05-05,08:30,EMPSIT,2017-04,
2017-05-12,08:30,CPI,2017-04,
2017-06-02,08:30,EMPSIT,2017-05,
2017-06-14,08:30,CPI,2017-05,
2017-07-07,08:30,EMPSIT,2017-06,
2017-07-14,08:30,CPI,2017-06,
2017-08-04,08:30,EMPSIT,2017-07,
2017-08-11,08:30,CPI,2017-07,
2017-09-01,08:30,EMPSIT,2017-08,
2017-09-14,08:30,CPI,2017-08,
2017-10-06,08:30,EMPSIT,2017-09,
2017-10-13,08:30,CPI,2017-09,
2017-11-03,08:30,EMPSIT,2017-10,
2017-11-15,08:30,CPI,2017-10,
2017-12-08,08:30,EMPSIT,2017-11,
2017-12-13,08:30,CPI,2017-11,
2018-01-05,08:30,EMPSIT,2017-12,
2018-01-12,08:30,CPI,2017-12,
2018-02-02,08:30,EMPSIT,2018-01,
2018-02-14,08:30,CPI,2018-01,
2018-03-09,08:30,EMPSIT,2018-02,
2018-03-13,08:30,CPI,2018-02,
2018-04-06,08:30,EMPSIT,2018-03,
2018-04-11,08:30,CPI,2018-03,
2018-05-04,08:30,EMPSIT,2018-04,
2018-05-10,08:30,CPI,2018-04,
2018-06-01,08:30,EMPSIT,2018-05,
2018-06-12,08:30,CPI,2018-05,
2018-07-06,08:30,EMPSIT,2018-06,
2018-07-12,08:30,CPI,2018-06,
2018-08-03,08:30,EMPSIT,2018-07,
2018-08-10,08:30,CPI,2018-07,
2018-09-07,08:30,EMPSIT,2018-08,
2018-09-13,08:30,CPI,2018-08,
2018-10-05,08:30,EMPSIT,2018-09,
2018-10-11,08:30,CPI,2018-09,
2018-11-02,08:30,EMPSIT,2018-10,
2018-11-14,08:30,CPI,2018-10,
2018-12-07,08:30,EMPSIT,2018-11,
2018-12-12,08:30,CPI,2018-11,
2019-01-04,08:30,EMPSIT,2018-12,
2019-01-11,08:30,CPI,2018-12,
2019-02-01,08:30,EMPSIT,2019-01,
2019-02-13,08:30,CPI,2019-01,
2019-03-08,08:30,EMPSIT,2019-02,
2019-03-12,08:30,CPI,2019-02,
2019-04-05,08:30,EMPSIT,2019-03,
2019-04-10,08:30,CPI,2019-03,
2019-05-03,08:30,EMPSIT,2019-04,
2019-05-10,08:30,CPI,2019-04,
2019-06-07,08:30,EMPSIT,2019-05,
2019-06-12,08:30,CPI,2019-05,
2019-07-05,08:30,EMPSIT,2019-06,
2019-07-11,08:30,CPI,2019-06,
2019-08-02,08:30,EMPSIT,2019-07,
2019-08-13,08:30,CPI,2019-07,
2019-09-06,08:30,EMPSIT,2019-08,
2019-09-12,08:30,CPI,2019-08,
2019-10-04,08:30,EMPSIT,2019-09,
2019-10-10,08:30,CPI,2019-09,
2019-11-01,08:30,EMPSIT,2019-10,
2019-11-13,08:30,CPI,2019-10,
2019-12-06,08:30,EMPSIT,2019-11,
2019-12-11,08:30,CPI,2019-11,
2020-01-10,08:30,EMPSIT,2019-12,
2020-01-14,08:30,CPI,2019-12,
2020-02-07,08:30,EMPSIT,2020-01,
2020-02-13,08:30,CPI,2020-01,
2020-03-06,08:30,EMPSIT,2020-02,
2020-03-11,08:30,CPI,2020-02,
2020-04-03,08:30,EMPSIT,2020-03,
2020-04-10,08:30,CPI,2020-03,
2020-05-08,08:30,EMPSIT,2020-04,
2020-05-12,08:30,CPI,2020-04,
2020-06-05,08:30,EMPSIT,2020-05,
2020-06-10,08:30,CPI,2020-05,
2020-07-02,08:30,EMPSIT,2020-06,
2020-07-14,08:30,CPI,2020-06,
2020-08-07,08:30,EMPSIT,2020-07,
2020-08-12,08:30,CPI,2020-07,
2020-09-04,08:30,EMPSIT,2020-08,
2020-09-11,08:30,CPI,2020-08,
2020-10-02,08:30,EMPSIT,2020-09,
2020-10-13,08:30,CPI,2020-09,
2020-11-06,08:30,EMPSIT,2020-10,
2020-11-12,08:30,CPI,2020-10,
2020-12-04,08:30,EMPSIT,2020-11,
2020-12-10,08:30,CPI,2020-11,
2021-01-08,08:30,EMPSIT,2020-12,
2021-01-13,08:30,CPI,2020-12,
2021-02-05,08:30,EMPSIT,2021-01,
2021-02-10,08:30,CPI,2021-01,
2021-03-05,08:30,EMPSIT,2021-02,
2021-03-10,08:30,CPI,2021-02,
2021-04-02,08:30,EMPSIT,2021-03,
2021-04-13,08:30,CPI,2021-03,
2021-05-07,08:30,EMPSIT,2021-04,
2021-05-12,08:30,CPI,2021-04,
2021-06-04,08:30,EMPSIT,2021-05,
2021-06-10,08:30,CPI,2021-05,
2021-07-02,08:30,EMPSIT,2021-06,
2021-07-13,08:30,CPI,2021-06,
2021-08-06,08:30,EMPSIT,2021-07,
2021-08-11,08:30,CPI,2021-07,
2021-09-03,08:30,EMPSIT,2021-08,
2021-09-14,08:30,CPI,2021-08,
2021-10-08,08:30,EMPSIT,2021-09,
2021-10-13,08:30,CPI,2021-09,
2021-11-05,08:30,EMPSIT,2021-10,
2021-11-10,08:30,CPI,2021-10,
2021-12-03,08:30,EMPSIT,2021-11,
2021-12-10,08:30,CPI,2021-11,
2022-01-07,08:30,EMPSIT,2021-12,
2022-01-12,08:30,CPI,2021-12,
2022-02-04,08:30,EMPSIT,2022-01,
2022-02-10,08:30,CPI,2022-01,
2022-03-04,08:30,EMPSIT,2022-02,
2022-03-10,08:30,CPI,2022-02,
2022-04-01,08:30,EMPSIT,2022-03,
2022-04-12,08:30,CPI,2022-03,
2022-05-06,08:30,EMPSIT,2022-04,
2022-05-11,08:30,CPI,2022-04,
2022-06-03,08:30,EMPSIT,2022-05,
2022-06-10,08:30,CPI,2022-05,
2022-07-08,08:30,EMPSIT,2022-06,
2022-07-13,08:30,CPI,2022-06,
2022-08-05,08:30,EMPSIT,2022-07,
2022-08-10,08:30,CPI,2022-07,
2022-09-02,08:30,EMPSIT,2022-08,
2022-09-13,08:30,CPI,2022-08,
2022-10-07,08:30,EMPSIT,2022-09,
2022-10-13,08:30,CPI,2022-09,
2022-11-04,08:30,EMPSIT,2022-10,
2022-11-10,08:30,CPI,2022-10,
2022-12-02,08:30,EMPSIT,2022-11,
2022-12-13,08:30,CPI,2022-11,
2023-01-06,08:30,EMPSIT,2022-12,
2023-01-12,08:30,CPI,2022-12,
2023-02-03,08:30,EMPSIT,2023-01,
2023-02-14,08:30,CPI,2023-01,
2023-03-10,08:30,EMPSIT,2023-02,
2023-03-14,08:30,CPI,2023-02,
2023-04-07,08:30,EMPSIT,2023-03,
2023-04-12,08:30,CPI,2023-03,
2023-05-05,08:30,EMPSIT,2023-04,
2023-05-10,08:30,CPI,2023-04,
2023-06-02,08:30,EMPSIT,2023-05,
2023-06-13,08:30,CPI,2023-05,
2023-07-07,08:30,EMPSIT,2023-06,
2023-07-12,08:30,CPI,2023-06,
2023-08-04,08:30,EMPSIT,2023-07,
2023-08-10,08:30,CPI,2023-07,
2023-09-01,08:30,EMPSIT,2023-08,
2023-09-13,08:30,CPI,2023-08,
2023-10-06,08:30,EMPSIT,2023-09,
2023-10-12,08:30,CPI,2023-09,
2023-11-03,08:30,EMPSIT,2023-10,
2023-11-14,08:30,CPI,2023-10,
2023-12-08,08:30,EMPSIT,2023-11,
2023-12-12,08:30,CPI,2023-11,
2024-01-05,08:30,EMPSIT,2023-12,
2024-01-11,08:30,CPI,2023-12,
2024-02-02,08:30,EMPSIT,2024-01,
2024-02-13,08:30,CPI,2024-01,
2024-03-08,08:30,EMPSIT,2024-02,
2024-03-12,08:30,CPI,2024-02,
2024-04-05,08:30,EMPSIT,2024-03,
2024-04-10,08:30,CPI,2024-03,
2024-05-03,08:30,EMPSIT,2024-04,
2024-05-15,08:30,CPI,2024-04,
2024-06-07,08:30,EMPSIT,2024-05,
2024-06-12,08:30,CPI,2024-05,
2024-07-05,08:30,EMPSIT,2024-06,
2024-07-11,08:30,CPI,2024-06,
2024-08-02,08:30,EMPSIT,2024-07,
2024-08-14,08:30,CPI,2024-07,
2024-09-06,08:30,EMPSIT,2024-08,
2024-09-11,08:30,CPI,2024-08,
2024-10-04,08:30,EMPSIT,2024-09,
2024-10-10,08:30,CPI,2024-09,
2024-11-01,08:30,EMPSIT,2024-10,
2024-11-13,08:30,CPI,2024-10,
2024-12-06,08:30,EMPSIT,2024-11,
2024-12-11,08:30,CPI,2024-11,
2025-01-10,08:30,EMPSIT,2024-12,
2025-01-15,08:30,CPI,2024-12,
2025-02-07,08:30,EMPSIT,2025-01,
2025-02-12,08:30,CPI,2025-01,
2025-03-07,08:30,EMPSIT,2025-02,
2025-03-12,08:30,CPI,2025-02,
2025-04-04,08:30,EMPSIT,2025-03,
2025-04-10,08:30,CPI,2025-03,
2025-05-02,08:30,EMPSIT,2025-04,
2025-05-13,08:30,CPI,2025-04,
2025-06-06,08:30,EMPSIT,2025-05,
2025-06-11,08:30,CPI,2025-05,
2025-07-03,08:30,EMPSIT,2025-06,
2025-07-15,08:30,CPI,2025-06,
2025-08-01,08:30,EMPSIT,2025-07,
2025-08-12,08:30,CPI,2025-07,
2025-09-05,08:30,EMPSIT,2025-08,
2025-09-11,08:30,CPI,2025-08,
2025-10-24,08:30,CPI,2025-09,delayed by government shutdown; originally scheduled 2025-10-15
2025-11-20,08:30,EMPSIT,2025-09,delayed by government shutdown; originally scheduled 2025-10-03
2025-12-16,08:30,EMPSIT,2025-11,originally scheduled 2025-12-05; includes October payrolls; no standalone October 2025 report (shutdown)
2025-12-18,08:30,CPI,2025-11,originally scheduled 2025-12-10; no October 2025 CPI was published (shutdown)
2026-01-09,08:30,EMPSIT,2025-12,
2026-01-13,08:30,CPI,2025-12,
2026-02-11,08:30,EMPSIT,2026-01,
2026-02-13,08:30,CPI,2026-01,
2026-03-06,08:30,EMPSIT,2026-02,
2026-03-11,08:30,CPI,2026-02,
2026-04-03,08:30,EMPSIT,2026-03,
2026-04-10,08:30,CPI,2026-03,
2026-05-08,08:30,EMPSIT,2026-04,
2026-05-12,08:30,CPI,2026-04,
2026-06-05,08:30,EMPSIT,2026-05,
2026-06-10,08:30,CPI,2026-05,
2026-07-02,08:30,EMPSIT,2026-06,
2026-07-14,08:30,CPI,2026-06,
2026-08-07,08:30,EMPSIT,2026-07,
2026-08-12,08:30,CPI,2026-07,
2026-09-04,08:30,EMPSIT,2026-08,
2026-09-11,08:30,CPI,2026-08,
2026-10-02,08:30,EMPSIT,2026-09,
2026-10-14,08:30,CPI,2026-09,
2026-11-06,08:30,EMPSIT,2026-10,
2026-11-10,08:30,CPI,2026-10,
2026-12-04,08:30,EMPSIT,2026-11,
2026-12-10,08:30,CPI,2026-11,
