target,arm,split_id,rmse,ic,run_id
GC=F_h5,A,0,0.05671535121405954,0.15474408133706558,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,A,1,0.04517277642937707,-0.05301545380049101,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,A,2,0.017650165250769893,-0.40965576264471043,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,A,3,0.03385730997058166,-0.23152929798168717,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,A,4,0.029444118443131266,-0.4436945023697517,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,A,5,0.04121804910794597,0.37481907988777813,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,A,6,0.03666145405306582,-0.4888869815486914,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,A,7,0.03943422028463152,0.5882771064883672,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,A,8,0.03575346795159609,-0.3977227182880923,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,A,9,0.092235128828081,0.5490895297003275,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,A,10,0.17000309801250282,0.3693883465600893,5f236194-99fa-4f0e-b502-76b70a239923
GC=F_h5,B,0,0.05369067495193646,0.11297970038288357,8af4cdef-be84-44a8-b286-ce167b036ec6
GC=F_h5,B,1,0.03613685861590097,-0.040058647879685653,8af4cdef-be84-44a8-b286-ce167b036ec6
GC=F_h5,B,2,0.017779321109636537,-0.39984102682015477,8af4cdef-be84-44a8-b286-ce167b036ec6
GC=F_h5,B,3,0.034006791739569456,-0.21079077957581877,8af4cdef-be84-44a8-b286-ce167b036ec6
GC=F_h5,B,4,0.03493457607897608,-0.5400053192482933,8af4cdef-be84-44a8-b286-ce167b036ec6
GC=F_h5,B,5,0.04122614180436251,0.3641544329201244,8af4cdef-be84-44a8-b286-ce167b036ec6
GC=F_h5,B,6,0.03664037466028118,-0.068997983969966,8af4cdef-be84-44a8-b286-ce167b036ec6
GC=F_h5,B,7,0.04116570170703417,0.2717861559746026,8af4cdef-be84-44a8-b286-ce167b036ec6
GC=F_h5,B,8,0.03520530070598236,0.18622258717028548,8af4cdef-be84-44a8-b286-ce167b036ec6
GC=F_h5,B,9,0.09322438055012157,0.5287809452887652,8af4cdef-be84-44a8-b286-ce167b036ec6
GC=F_h5,B,10,0.171933661096671,0.42814072394130537,8af4cdef-be84-44a8-b286-ce167b036ec6
SI=F_h5,A,0,0.22781270000748502,-0.16985331624737404,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,A,1,0.23217347041365755,0.18912915573479405,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,A,2,0.035351618477547364,-1.2665438102870292e-15,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,A,3,0.05233272397636474,0.3937296908563082,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,A,4,0.10604310798362523,-0.5577871803279602,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,A,5,0.04550831225498186,0.09443124255574954,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,A,6,0.040067507397926576,0.4275971008232453,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,A,7,0.11771465581933403,0.1708171358021215,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,A,8,0.05316832427045075,0.02304645383993266,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,A,9,0.100270277052631,0.27079756614603856,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,A,10,0.5333438621720425,0.6143742917931027,381b16b1-a640-40a7-910f-582128851f00
SI=F_h5,B,0,0.22835741763706055,-0.19276557917845777,c0e6e66e-76a5-41cf-bd95-add923057621
SI=F_h5,B,1,0.20908681900617476,0.19847376362717647,c0e6e66e-76a5-41cf-bd95-add923057621
SI=F_h5,B,2,0.034898840270374744,0.26074514383791786,c0e6e66e-76a5-41cf-bd95-add923057621
SI=F_h5,B,3,0.056893332381468015,-0.07115407109329527,c0e6e66e-76a5-41cf-bd95-add923057621
SI=F_h5,B,4,0.10482434809260098,-0.508946744185159,c0e6e66e-76a5-41cf-bd95-add923057621
SI=F_h5,B,5,0.0456938230781293,0.011548360662563213,c0e6e66e-76a5-41cf-bd95-add923057621
SI=F_h5,B,6,0.03975208786808209,0.3943886579398132,c0e6e66e-76a5-41cf-bd95-add923057621
SI=F_h5,B,7,0.1159543175048041,0.07998268172050449,c0e6e66e-76a5-41cf-bd95-add923057621
SI=F_h5,B,8,0.053492216850482735,0.09190797225467146,c0e6e66e-76a5-41cf-bd95-add923057621
SI=F_h5,B,9,0.10794489008768449,-0.2786675882771182,c0e6e66e-76a5-41cf-bd95-add923057621
SI=F_h5,B,10,0.5746021229579894,0.6066011719129072,c0e6e66e-76a5-41cf-bd95-add923057621
GC=F_h20,A,0,0.049828867120826986,-0.21154873081622622,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,A,1,0.03838265701043328,-0.21506993326711737,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,A,2,0.033422505919513776,-0.18818498267104503,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,A,3,0.03240223470649964,-0.13829676557654733,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,A,4,0.033056985287453704,0.13745054158303413,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,A,5,0.053705827241259045,0.46782561715831394,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,A,6,0.027333943485900992,0.4937816924305952,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,A,7,0.03246794796123712,0.5457344582518371,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,A,8,0.035773250429125845,-0.023097277417749997,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,A,9,0.08875738008816417,0.45088216813205756,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,A,10,0.18736785026064323,0.29246597428506316,fbcb1c5c-ef2c-442d-b685-31a2c213fd26
GC=F_h20,B,0,0.046749602573078426,-0.06955541393419018,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
GC=F_h20,B,1,0.04229122141219928,-0.2820542174126012,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
GC=F_h20,B,2,0.03323361398303238,-0.3628808997601256,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
GC=F_h20,B,3,0.018445970895396062,-0.17664979093720207,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
GC=F_h20,B,4,0.03303011277564767,0.10459443720345282,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
GC=F_h20,B,5,0.053436523086745735,0.35351052842094083,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
GC=F_h20,B,6,0.028072229631400117,0.1791666607830603,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
GC=F_h20,B,7,0.031976105737796245,0.47248205725597525,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
GC=F_h20,B,8,0.03588965345157222,-0.13595768177800588,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
GC=F_h20,B,9,0.09014693619520288,0.3032912527183587,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
GC=F_h20,B,10,0.18623162440452573,0.2496231337126184,1f97199c-9b1e-4546-b98a-bd57e9a5e93a
